Name,cs_group,Category,Location,latitude,longitude
DH54,-,House,Dernau,50.532802777777775,7.066136111111111
DH55,-,House,Dernau,50.53276111111111,7.0660944444444445
DH56_A,A,House,Dernau,50.533767,7.054448
DH57_A,A,House,Dernau,50.533767,7.054448
DH58_A,A,House,Dernau,50.533767,7.054448
DM01,-,Misc,Dernau,50.528391666666664,7.040691666666667
DM02,-,Misc,Dernau,50.529605,7.041045
DM03,-,Misc,Dernau,50.531256666666664,7.042058333333333
DM04,-,Misc,Dernau,50.53387166666667,7.054135
DM05,-,Misc,Dernau,50.53500833333333,7.057688333333333
DM06,-,Misc,Dernau,50.535668333333334,7.057173333333333
DM07,-,Misc,Dernau,50.53237222222222,7.065705555555556
DM08,-,Misc,Dernau,50.532380555555555,7.065713888888888
DM09,-,Misc,Dernau,50.532441666666664,7.0657749999999995
DM10,-,Misc,Dernau,50.532444444444444,7.065777777777778
DM11,-,Misc,Dernau,50.53247222222222,7.0658055555555555
DM12,-,Misc,Dernau,50.532647222222224,7.065980555555555
DM13,-,Misc,Dernau,50.532694444444445,7.066027777777777
DM14,-,Misc,Dernau,50.532694444444445,7.066027777777777
DM15,-,Misc,Dernau,50.5327,7.066033333333333
DM16,-,Misc,Dernau,50.5327,7.066033333333333
DM17,-,Misc,Dernau,50.5327,7.066033333333333
DM18,-,Misc,Dernau,50.53274722222222,7.066080555555556
DM19,-,Misc,Dernau,50.53165555555555,7.064988888888888
DM20,,Misc,Dernau,50.53387167,7.054135
DM21_A,A,Misc,Dernau,50.533767,7.054448
